Date,AAPL,AMZN,BAC,CVX,GLD,GOOGL,GS,JNJ,JPM,KO,META,MSFT,NVDA,PFE,PG,SPY,TLT,UNH,WMT,XOM
2015-01-02,24.19260597229004,15.425999641418457,14.050795555114746,68.89835357666016,114.08000183105469,26.244783401489258,154.87266540527344,76.11090087890625,46.0667839050293,29.390254974365234,77.76708984375,39.681732177734375,0.48242291808128357,18.08252716064453,65.55575561523438,169.6878662109375,92.65930938720703,83.35273742675781,23.127546310424805,57.14554214477539
2015-01-05,23.511056900024414,15.10949993133545,13.642618179321289,66.14437866210938,115.80000305175781,25.744714736938477,150.0370635986328,75.5793228149414,44.63664245605469,29.390254974365234,76.51805877685547,39.316837310791016,0.4742746949195862,17.984411239624023,65.24407196044922,166.62338256835938,94.11479187011719,81.97972869873047,23.060232162475586,55.581939697265625
2015-01-06,23.513277053833008,14.76449966430664,13.23443603515625,66.11376190185547,117.12000274658203,25.10934829711914,147.00196838378906,75.2079086303711,43.47926330566406,29.613447189331055,75.48709869384766,38.73976135253906,0.4598954916000366,18.134479522705078,64.9468765258789,165.05392456054688,95.81053161621094,81.81433868408203,23.237934112548828,55.28644561767578
2015-01-07,23.842973709106445,14.920999526977539,13.297236442565918,66.05868530273438,116.43000030517578,25.035507202148438,149.1926727294922,76.86822509765625,43.545616149902344,29.98309326171875,75.48709869384766,39.23197555541992,0.4586973786354065,18.382652282714844,65.28755950927734,167.1106719970703,95.62127685546875,82.64969635009766,23.854488372802734,55.846649169921875
2015-01-08,24.759078979492188,15.02299976348877,13.571966171264648,67.57032012939453,115.94000244140625,25.122732162475586,151.57461547851562,77.47261810302734,44.51869583129883,30.34576988220215,77.49942779541016,40.38610076904297,0.4759523272514343,18.7578125,66.03414916992188,170.0760498046875,94.35491943359375,86.59485626220703,24.35795783996582,56.77618408203125
2015-01-09,24.7856388092041,14.846500396728516,13.328632354736328,66.22390747070312,117.26000213623047,24.815950393676758,149.24844360351562,76.4167709350586,43.744651794433594,30.010976791381836,77.06326293945312,40.04664611816406,0.4778696298599243,18.84438133239746,65.41802215576172,168.71311950683594,95.38841247558594,85.78430938720703,24.056413650512695,56.69615936279297
2015-01-12,24.174901962280273,14.570500373840332,13.093141555786133,64.7979507446289,118.55999755859375,24.634559631347656,147.43211364746094,76.15459442138672,43.368690490722656,29.738981246948242,76.05213928222656,39.545963287353516,0.4718782305717468,18.913639068603516,65.17882537841797,167.39149475097656,95.93423461914062,84.81663513183594,24.236804962158203,55.606563568115234
2015-01-13,24.389541625976562,14.737000465393066,12.912604331970215,63.769805908203125,118.16000366210938,24.869476318359375,147.32057189941406,76.28567504882812,43.37604904174805,29.732013702392578,75.78448486328125,39.342281341552734,0.47115930914878845,18.723180770874023,65.45429992675781,166.92071533203125,95.93423461914062,85.24668884277344,24.045650482177734,55.4034309387207
2015-01-14,24.29660415649414,14.66349983215332,12.590767860412598,63.58624267578125,117.97000122070312,25.074161529541016,143.57643127441406,75.73223114013672,41.87957000732422,29.68318748474121,75.615966796875,39.002845764160156,0.47307640314102173,18.74626922607422,65.22955322265625,165.9129638671875,96.66199493408203,85.46172332763672,23.318700790405273,55.24336624145508
2015-01-15,23.637189865112305,14.34749984741211,11.931400299072266,62.83345413208008,120.94000244140625,24.979005813598633,142.1902618408203,74.63267517089844,40.53789138793945,29.55765151977539,73.4053955078125,38.595497131347656,0.46972137689590454,18.700096130371094,65.1353530883789,164.39312744140625,98.18305969238281,86.39636993408203,23.526018142700195,54.763206481933594
2015-01-16,23.453533172607422,14.536999702453613,12.072694778442383,64.33287048339844,122.5199966430664,25.29867172241211,141.1865692138672,75.76136016845703,41.23085021972656,29.66226577758789,74.52555847167969,39.240455627441406,0.47834882140159607,18.93096160888672,66.14289855957031,166.54898071289062,96.9312973022461,87.47981262207031,23.361783981323242,56.09288024902344
2015-01-20,24.057619094848633,14.472000122070312,11.978496551513672,65.1590576171875,124.19999694824219,25.272899627685547,139.9119415283203,73.75885009765625,41.06865692138672,30.101646423339844,75.5763168334961,39.36775207519531,0.4797869622707367,19.10411262512207,66.09939575195312,166.9041748046875,98.2194595336914,87.35574340820312,23.34024429321289,56.07441711425781
2015-01-21,24.241283416748047,14.862500190734863,12.096243858337402,66.19332885742188,124.2300033569336,25.790807723999023,141.12281799316406,74.20301818847656,41.20135498046875,30.24114227294922,76.07196807861328,38.96889114379883,0.4864971339702606,18.838611602783203,66.2337417602539,167.7467041015625,97.08409881591797,90.41593933105469,23.326780319213867,56.55458450317383
2015-01-22,24.871932983398438,15.515999794006348,12.630016326904297,66.65843963623047,125.2300033569336,26.628873825073242,145.018310546875,75.55748748779297,42.45458221435547,30.534069061279297,76.97405242919922,39.99573516845703,0.4948848783969879,18.936731338500977,66.88341522216797,170.2412872314453,96.73474884033203,94.16259002685547,23.773717880249023,57.17019271850586
2015-01-23,25.000272750854492,15.619500160217285,12.347433090209961,65.39160919189453,124.2300033569336,26.859331130981445,143.78350830078125,74.42145538330078,41.78373336791992,30.20627212524414,77.15248107910156,40.03816223144531,0.496322900056839,18.72895050048828,65.75920867919922,169.3079071044922,98.08114624023438,92.63248443603516,23.830251693725586,55.9512939453125
2015-01-26,25.026832580566406,15.482999801635742,12.441627502441406,66.63394927978516,122.98999786376953,26.600130081176758,143.72779846191406,74.46517944335938,41.850074768066406,29.990062713623047,76.82534790039062,39.89389419555664,0.4941660463809967,18.93096160888672,65.39420318603516,169.70437622070312,97.78273010253906,92.30996704101562,23.86256980895996,56.48688507080078
2015-01-27,24.150556564331055,15.337499618530273,12.268935203552246,66.2545394897461,124.4000015258789,25.830455780029297,140.59703063964844,74.34135437011719,41.42988586425781,29.56462860107422,75.1203384399414,36.20238494873047,0.4704403281211853,18.815534591674805,63.138458251953125,167.46585083007812,97.93559265136719,90.98661041259766,23.566404342651367,55.988243103027344
2015-01-28,25.515859603881836,15.195500373840332,11.931400299072266,63.46996307373047,123.41999816894531,25.396305084228516,137.85658264160156,73.89717864990234,40.3609619140625,29.23681640625,75.5763168334961,34.95490646362305,0.4627714455127716,18.44036865234375,62.1602668762207,165.31822204589844,99.5367431640625,89.70464324951172,23.375246047973633,54.14146041870117
2015-01-29,26.310256958007812,15.58899974822998,12.111944198608398,63.03541946411133,120.76000213623047,25.435955047607422,140.19871520996094,74.55258178710938,41.0391731262207,29.362361907958984,77.32099914550781,35.65077209472656,0.4740351140499115,18.371105194091797,62.53987503051758,166.8463897705078,98.88164520263672,90.47383880615234,23.6175537109375,53.913673400878906
2015-01-30,25.925230026245117,17.726499557495117,11.8921537399292,62.74776840209961,123.44999694824219,26.641265869140625,137.3467559814453,72.92140197753906,40.08821105957031,28.7137393951416,75.24920654296875,34.28447723388672,0.4601350724697113,18.036357879638672,61.532447814941406,164.74827575683594,100.6356201171875,87.87682342529297,22.87984848022461,53.81517791748047
2015-02-02,26.250513076782227,18.223499298095703,12.135491371154785,64.90813446044922,122.41999816894531,26.376117706298828,139.80043029785156,73.42384338378906,40.89174270629883,29.00666046142578,74.33720397949219,35.031272888183594,0.4702007472515106,18.267221450805664,62.13837432861328,166.78855895996094,100.25569152832031,88.73696899414062,23.076391220092773,55.144859313964844
2015-02-03,26.25493621826172,18.177499771118164,12.473023414611816,67.03173828125,121.05000305175781,26.43063735961914,143.58441162109375,74.61080932617188,41.813228607177734,29.034578323364258,74.7436294555664,35.30282974243164,0.48194366693496704,18.48077392578125,62.744266510009766,169.20050048828125,98.13362884521484,89.16704559326172,23.205625534057617,56.78852081298828
